Unnamed: 0.1	Unnamed: 0	id	author_id	like_count	quote_count	reply_count	retweet_count	referenced_tweet_id	referenced_tweet_type	text	negative	neutral	positive
448	0	5.283274301390397e+17	35989932.0	2.0	0.0	0.0	1.0			It's Halloween here @richdaleapts #RedRidingHood #WolfOfWallStreet #RichdaleInDisguise @halltbone http://t.co/u9sQxL7YT6	0.0049	0.558	0.4371
449	1	5.283269024616407e+17	518014491.0	0.0	0.0	0.0	0.0			Leo wearing a gold Rolex in Wolf of Wall Street #fbf #wolfofwallstreet #rolex #goldrolex… http://t.co/QXkbeCNqtr	0.0044	0.8891	0.1065
450	2	5.283230588354192e+17	257517997.0	0.0	0.0	0.0	4.0	4.200131832023777e+17	retweeted	RT @illscarlett: If @LeoDiCaprio doesn't win an #Oscar for #WolfOfWallStreet.. Then there is something tragically messed w/ The Academy..	0.847	0.1425	0.0104
451	3	5.283229081885942e+17	257517997.0	0.0	0.0	0.0	836.0	4.2600391174536806e+17	retweeted	RT @markmahon: Saw #WolfofWallStreet and Leonardo @LeoDiCaprio was outstanding. He could be difficult to beat at this year's 86th #Oscars @…	0.0044	0.0381	0.9575
452	4	5.283227464058962e+17	257517997.0	0.0	0.0	0.0	7.0	4.384993219152691e+17	retweeted	RT @firstpostin: Will the Academy finally give Leonardo DiCaprio his Oscar this year? http://t.co/pFOuxRLEV6 #WolfOfWallStreet	0.0033	0.7234	0.2733
453	5	5.283204522348462e+17	1045136112.0	0.0	0.0	0.0	1.0	5.282448625930076e+17	retweeted	RT @LongPennyStocks: @UnitedForCare @DrugPolicyNews #wolfofwallstreet #wolfpack Vote YES on Amendment 2!!! Florida needs it!	0.016	0.2929	0.691
454	6	5.2829804594833e+17	394403854.0	1.0	0.0	0.0	0.0			What other shoes would the girlfriend of the #wolfofwallstreet buy? #ShteeeeeeveMaaaaadddden http://t.co/DL8RtHB1e4	0.019	0.9051	0.0759
455	7	5.2829581577394586e+17	81533317.0	0.0	0.0	0.0	1.0	5.282868834667315e+17	retweeted	RT @samjones001: Bermuda grass! Oh my god you had to deal with the golf course people too! #wolfofwallstreet	0.537	0.346	0.117
456	8	5.282957506070651e+17	1692803184.0	0.0	0.0	0.0	0.0			Newest Purchase... #WolfOfWallStreet http://t.co/VlRTkK9XUD	0.0092	0.7166	0.2742
457	9	5.282868834667315e+17	116424319.0	3.0	0.0	1.0	1.0			Bermuda grass! Oh my god you had to deal with the golf course people too! #wolfofwallstreet	0.6247	0.273	0.1023
